user_id,user_op,game_result,blitz_rating
paulpavlus,mrots_tnelis,1,1667.0
Hrishant2610,Morus_rubra,-1,1723.0
Arnav1813,Dieter_Koehler,1,1166.0
Josef_Otto,susytroll,-1,1705.0
Josef_Otto,susytroll,-1,1705.0
kzCTAH,lemalin17,1,2172.0
RamChess1234,Kurban336,-1,1264.0
jvt18,Samweiss99,1,2404.0
namhoang33,JorgeLuis_81,-1,1856.0
whoisvinoth,stelmashok,0,1348.0
aSd12F13,olotu,1,1513.0
k04uron,DanielPerotti,1,1263.0
Cristian_Z,walter_43,1,1199.0
Gorochu23,MISTERCHUK22A,1,1913.0
mohamedalaa207,Maxuta2013,1,709.0
BryandDor,olwan12,-1,1953.0
Ismaelfiol,alancomplet,1,1313.0
elvergalarg,Railandersson,1,1678.0
GozziFrank,findus_1,-1,1282.0
Pag_Tokef,dimdumup321,-1,1201.0
EmilEkholm02,,401,1500.0
groovechesster,,401,1500.0
SamihDiDi,Yassin_abdo,-1,1564.0
ilcheetah,PAYDAR32,-1,1559.0
MohamedBakr12,Adam_Ismail3,-1,2004.0
Ankit_undefeated,babouski,0,1602.0
Ostia1948,mmode,-1,1639.0
TorontoBlueJays,MakeAWish55,-1,1954.0
Kloudzz,Dimasik24,-1,1741.0
Waterman1970,disara,1,2055.0
mwilkes510,SACRECEUR,1,1432.0
VovaZubairov,dgrechin,-1,1422.0
Gazzaeva-Liyana_2,Chess_Go-Samara,1,2356.0
Gorki69,mobin74,1,1732.0
greshchess,TakezoKensei,-1,765.0
redexplosions,BBcherie,1,1739.0
OISMJ-Harshali,Heisenberg6403,-1,851.0
Manasaap,abde_rmc,-1,860.0
Anrihard,psp2108,-1,1372.0
MN_Galao,dGonzo,-1,1937.0
YuryLobov36,cvomake,1,1907.0
dptydog,EldoradoSun,-1,1448.0
AlbertoX,matheusbnas,1,1278.0
ChessWorldChampion_1,leviatanmagic,-1,2209.0
karomur,Pacositeb,-1,924.0
NkChessTienNam,thki,-1,1948.0
joelsterki,AlejandroDeArmas,1,1208.0
tuhermana123,ntoc1999,0,1457.0
Sultan_IDFC,Rus10,1,1241.0
amihai,talhatartici,-1,1306.0
Kramit54321,EnchantingMajor,-1,1201.0
avemaria2025,old_grandfather,-1,2483.0
AlexeyOrehov,greenmate,1,1933.0
chchchchchchhc,xjoufix84,-1,983.0
solid-pawn13,ayax75,1,1599.0
Dani2514,Bradyaga14,1,1073.0
jairoperez30,alfons2018,-1,1339.0
Dajea,Toponet9952,-1,1881.0
Huckushi,jesskinny,-1,1386.0
gondor110,ALEXANDR_M13,1,1289.0
bl4ckeagle10,shurido,-1,964.0
manthanchachar,L4gfx,1,1040.0
FrontalButt,CruzeiroTop,1,1648.0
Kimaya2017,e4e5f4exf4nicht,-1,1357.0
pk143221,javiito,-1,1426.0
Hari_201128un,jcbose,1,1220.0
Joko-edan_Ltc,noid87,-1,1753.0
YaroslawItabaev,Tonysilverlight97,1,1303.0
Africa_Aj,pathfinder01,1,1541.0
baysed1400,Reykjavik2022,-1,1210.0
Scheff_1,namanok,1,1726.0
chessmedianeira,Faxriddin1,-1,1300.0
Istoria_2016,LeonidJazz,1,1759.0
NO_QUEEN_CLIMB,Dipaolad,1,1321.0
Virat000,Ibrohim2014,-1,1777.0
gahanp99,ferverc,-1,1817.0
b237,Handyplayer,1,2138.0
sJoyce-TR,elmar8,-1,1366.0
shishi143,,401,1500.0
Koboi_KTCT,,401,1500.0
Rustem_Kurbansky,reshetnyckow,1,2304.0
UweRademacher,dR_AcmE_IsmE,1,1669.0
sinanarslan,BantBain,1,1187.0
nurka1,Terribilcus33,-1,1104.0
TimofeiSergeevi4,Gnitaheid,-1,1049.0
dapacri,chorman,-1,1537.0
vikraam,Quldzie,1,1503.0
Novice_Noah,HouseOfLeaves19,1,2325.0
GaneshKadu,jodef77,-1,1079.0
safaie5523,Nikolai1959,-1,1310.0
ChessCadet,calz100,-1,2332.0
Alan_Shegenov,Gizikunki,1,1176.0
caba1989,sxxiven,-1,1077.0
MrSipes,olammy,-1,2206.0
maro09,,401,1500.0
FuddmerL,,401,1500.0
Kiran0926,Gmelyani,1,1552.0
Davi_Vascao_Reis,oleandrofreitas,1,1681.0
A7968801,Asike,-1,1447.0
Alfoli_mx,Lachessbleue,-1,1282.0
Damir_Zakirov,Rasapodi,1,1503.0
MuravskyjEvgen,Kjjack0829,1,1848.0
Samira_1005,PKhajure,-1,571.0
Poet_Of_The_Fall,Jorgemario2015,1,1839.0
White_Snow_26,,401,1500.0
anbuasr,,401,1500.0
AlexHeinsen,OrangeTweet,-1,1547.0
Viktor291,Ilya121Pn,-1,1842.0
Alex555777,HelioRagazzi,-1,1623.0
Navadeepkca,aesamalaa,1,1467.0
ajuc00,Jaenco608,-1,1276.0
Andre-1983,vit2023,1,1984.0
TotarryNotaSpyBaroon,AboamerM,-1,1471.0
Svyatoslav1111,ladimirskil,0,1182.0
nastignu,ahmed5865,1,1626.0
Yaniss_Ard,GROSSNIK,1,1269.0
iknow_whoami,khaijun2011,-1,1859.0
FerreiraAndre25,MaTaRoV,-1,2198.0
cbumae,Loxos,-1,1799.0
MaksimBerilov,abelkoque,1,1258.0
suvachess,yarangu97,-1,1591.0
pri14ale07,Granadillopower,-1,1816.0
RAKSHAN12,ControllerOfficial77,-1,1760.0
Fuzzylelapin,e112233a,-1,1402.0
dso99,LordBill,-1,1268.0
AyaanAkz,yemvijay,1,1255.0
RostChinokalov2015,Daniil_Koltsov,0,669.0
Rooked89,Tarus_01,-1,1170.0
abhinavksam123,VidyutC,1,928.0
paulrsi,filineduard59,-1,1196.0
steviebe,mohamadnehme,1,1589.0
knight1978,Shriram_GS,1,1475.0
Andy310,enk1500,-1,959.0
ccourtney,EDUCAO,1,1899.0
Miyagi2116,SuprJan,1,1610.0
h306h75,T_Moe,-1,1450.0
JacTheWolf,Jaypas23,-1,1624.0
Xbec,bcvr_v,1,802.0
Raajadurai,Godfreyp,-1,1250.0
JuanJoseVC,elsersy710,-1,
Kumirchess,AndrejD,1,2171.0
Nevermore-2023,Mokhtat_momo,1,811.0
MohamedDenana,sssccv,1,1538.0
anaseo95,LuntikkShess,-1,1318.0
mohamedalawy5,Tamerbashyr,-1,2033.0
kataeva_aboba,Pinourson,-1,1440.0
faizynem,channy0105,1,849.0
Harmoni_Group,a-g-3-AjEdReZ,-1,1148.0
PrajithMathu,Sim1BW,-1,1931.0
NY41,K1NRICH,-1,1933.0
Sanjitsingh1,feras-taimanov,-1,2098.0
dr_nkaccount1222,Thomsen110,-1,1243.0
djacco,Ingmorath,-1,1393.0
AsacoPaco,Gosset29,-1,2249.0
teori31,abuejocha,1,1446.0
naaml00sChessPlayer,SKLawyer,1,1662.0
snowsuncity12,ochoagus,-1,1670.0
BernsRevenge,harpy_hags,-1,1891.0
Timurbek_2011,Konstvik2112,1,2052.0
Robinosse25,pawnbarker,1,1561.0
Robinosse25,pawnbarker,1,1561.0
Vadim321,VOLODYA_99,-1,1527.0
bannamahendrasingh,Angkolbandam,-1,1686.0
Professor_Adolf_Hupp,Propolis1984,1,2476.0
Guthi,Kvasart,0,2012.0
Mrmorgee,Chessboxing_Reza,-1,1702.0
psu4f4,michelbruns,-1,1086.0
kishore_rk,thala_for_a_reason_7,-1,1617.0
yuriy76,Dedal86,-1,2236.0
Annadottir3,HomoSapiensDenisova,1,2129.0
ChetanPothuru,joaquinnar,1,762.0
bennyg,Muslim_001,1,1641.0
Arjun_dead,Oleg343,1,1540.0
mazouz1974,Chessdiator,-1,1431.0
erdemozerq,michellini1973,1,1894.0
RollingFrog,advanced-pawn70,-1,1934.0
maestro_2,sporaruka,1,1553.0
Misha_Mikayeel,Abdallahhamdy99,-1,916.0
ArtiomYu,Prantarchess,-1,1567.0
ynzl,waseemmaher_95,-1,1839.0
luongvu12345,km_D_nhbaochau_2017,-1,1106.0
Trieets,D10_VietDuc,-1,1336.0
alexlele2008,aashetty,1,2651.0
TigersOmnyama,kurbelschock,1,1363.0
dmtg2,chuckdu,-1,922.0
artem_s1nce,ravi445,1,1533.0
festus_happy,MrPolotenchiko,1,1655.0
farhatmansur,yudibadau,1,2112.0
swsdsdfwwerwe,XeroMyths,1,1695.0
andre_souza90,ljubisadjokovic1953,-1,2060.0
vivek31290,Danila_Gnidenko,1,985.0
artan_hz,voidmay0,-1,1173.0
Yajiv1977,omar007007,-1,1628.0
LegoshinArseniy,Durdevic,1,2200.0
jalelkabouche,oiuerghi,-1,1610.0
Zkriaelghazl,mohamad-hashempour,1,968.0
ArshiaAbedi,AKYAZ-C,1,1163.0
Innedev,dreamdima1,-1,2415.0
angeltique,SnegaMargo,-1,777.0
HP-012,ignite_89,-1,1567.0
yaroslav45637,Veta174,1,791.0
esgrimista98,yooossf,-1,1301.0
Ruslan_Cherkasov,giligalam,1,1357.0
RVJM1993,suvodip,-1,1523.0
jonusz,Achareker412200,1,1492.0
michelediamond,DanisF,1,1368.0
davidrag,Danopcitho,1,1176.0
CardanoHH,alexolll57,-1,2166.0
CardanoHH,alexolll57,-1,2166.0
Yashmithadissa,bavindukodippili,1,764.0
RandomChessPlayer23,jmjogi,-1,1868.0
RafaSilvaa,Ardiawan90,-1,1375.0
vooooouria,nixkoenner2023,-1,1566.0
Ceteris_Paribuns,vectra,1,1808.0
Baobabo,VibrantJail,-1,1153.0
Viscam24,alexyarovoy85,1,2304.0
qUIeTIdIO,dev_knp,-1,1697.0
youneszmz,Fhirdaus,-1,1794.0
DJ_Man_2099,Otonibh,1,1658.0
KaanOktem,divsree,-1,1698.0
Vijaybro,,401,1500.0
magnusstylish21,,401,1500.0
Molaender,Ashaked,1,2073.0
GrandMasterM,saintloup11,1,1725.0
Singodance,Ihsan_Karim,1,1174.0
Target-2000-Elo,Mukim15m,1,1374.0
shizukaesan,USAmedic10,-1,1453.0
Dangotte,Planeta28,-1,1359.0
Chess_Vaibhav123,quails911,-1,1224.0
te-quiebro,Spongebob1212,1,1904.0
ninja_1375,stokwa06,-1,1669.0
LicenciadoEnrique,KristoGar,-1,1025.0
hajshafie,johnabby,1,1001.0
DMediran,Giouzk01,1,1903.0
rade-888,IgkGerald,-1,1420.0
Artanis2999,arabsalim,-1,1314.0
Chemy03,Uli_S,-1,1608.0
Illmuney,asiayam,-1,1383.0
blindYouCanTryOnce,nikchess12,-1,1828.0
ksrinivas,AbdulJabbar07,-1,2017.0
ayonen,Anaglazkova324,-1,934.0
yusufbjk95,ukwee,1,1761.0
Tamara2Selena,Tri_kony,1,1625.0
vuasl25689,Der_Patzer,-1,2007.0
Brainwashed-book,Chaichess,-1,1091.0
pompy-ompy,,401,1500.0
Muerte_Negra,,401,1500.0
oni-benyamin2,chesswisdom4u,1,1875.0
Hedgehog_f3_or_f6,nate8592,-1,1713.0
jobemans,steynic1988,1,2234.0
areyouhopeless,limpido,-1,1519.0
mrKori,Yntec,-1,1865.0
Faisal874,Lion2017Lion,1,1758.0
PK_210,sherlok1979,-1,2234.0
AS-Goldenberg,togi89,-1,1953.0
shalf,Mihailbazhin,-1,1372.0
Cindy_Sunday,Carlos553,-1,1608.0
GooDDay22,hangingrooks26,-1,1632.0
Yemayanky,janela777,1,1349.0
Aryancena,elias123456789,1,1295.0
Rayansh77777,CGR0022,-1,763.0
Nachita_2013,Zineas,1,552.0
PavelZa,bati55555,-1,1974.0
kramka,Govinda3344,1,1616.0
zooted_atomic,QADIRHABIBI20,-1,2061.0
Rolig,NotRZYM,-1,1826.0
CaptainJackSparrovv,kvltvr_wvltvr,-1,2070.0
turning_machine,zacaz7,1,1612.0
LeonardoNicolas,JOAQUINOJEDA2014,-1,1398.0
zedurr,hkirici,-1,946.0
willy16,myalin5049,-1,1910.0
TobiasOvermark,sorenorskov,-1,1104.0
Servandoriver,yomero_2022,1,1733.0
chanugad,Homres,1,1048.0
tryasz,RexSkeleton,1,917.0
veter1297,goldiepie,-1,1863.0
Satranc_enver22,nab0576,1,1863.0
Axertfew,sami12345678910,1,913.0
Alexshirov,aliferenkooleksij,-1,2418.0
Dontstopberserking,KorradoKattani,0,1789.0
lkhhjk1234t5,Adderley,-1,2170.0
thrissurthadiyan,Sahin_Baku,-1,1221.0
aiman_hafiz10,Batrisyia_2010,-1,874.0
brahimahazat,Ilya_reyh,0,1185.0
fulvio_la_piuma,Guidon86,1,1304.0
GAM_333,sundov100,-1,1546.0
ErFocaccia,ffarzadd,-1,1706.0
dolaxies,Rostislav2727,-1,1342.0
CarlosMagnuslon,istude,1,1531.0
Winterstone_HD,arjunhs2023,1,1482.0
Gangsterrap,chvk_redan,-1,1591.0
Greymurs,gkhn093535,-1,1432.0
vipulnvyas,IonU,-1,1688.0
Su-ku-na,morelense,-1,2108.0
samehgamal2022,broker1,0,1386.0
OggyLV1,jjox27,-1,1399.0
Manoj-P,VarunDiya,1,1530.0
FroZe075,Adt3,-1,1398.0
daisy-pusher,trickmove,-1,1059.0
IvyLogan,Civilmarks,-1,1005.0
Sima_Kovalev,Dexter_Dad,0,1408.0
fabioce,Chocri,-1,2021.0
wcis,silentixru,1,1775.0
Matatorx,cmh1506,-1,1408.0
pungimaster,Rtep1956,1,1358.0
TheUnlikelyKnight,Ujangcodet,1,1769.0
Exebrassman,NYCmoe,0,1548.0
SwanRoad,IGNEA,1,1289.0
JBM-111888,nikolgus,-1,1724.0
Hjaramillo5,quadsquad,-1,1859.0
alkaline1,John1914,-1,2257.0
Moragano,adrianb77,-1,1168.0
Vicarious101,Ayouness,-1,1098.0
ARandomMove,minimymlitr,-1,2348.0
Blitzek,YaroslavYuzhnyi,1,1966.0
Petra-Mia,WaffleBlink,-1,869.0
onaber25,Edo2000,-1,1936.0
MrHoth1979,merstam,-1,1360.0
menetrey,Sandra10,-1,1662.0
KSMehrab,Salvadav,1,1496.0
Radrook,Emgrace,1,1664.0
poegland,DrHeadgear,-1,1330.0
AlphaLegend1,luntanglantung_87,1,1883.0
Mart998,Terrikane,-1,1839.0
sssarper,Brandts,-1,1910.0
vitsel2019,Maya_Mnatahni,-1,1481.0
Synecdoche1,jlsa58,1,1306.0
cristianoaponte,rikardlidh,-1,1092.0
umerq,d1yapper,-1,993.0
alexanderpidyak,barubelajar001,-1,1644.0
zldwhdgur,MorevDenis,-1,1096.0
tarkovskiy_a,Sinkaspa,1,2237.0
nshat2612,Bodega_Rambaldi,-1,879.0
ZhePTBA_Mo3r0B,fat_ian,-1,1506.0
Cl0udy1337,PuertoRicanRasta,1,1900.0
MTA85,atlasocean001,-1,962.0
yoldi6718,osmanyosvy,-1,1526.0
Martindd389,joseliyo2210,-1,1581.0
EdwardAlcedo,randomdude0,-1,1420.0
Ferdydurke87,khairy1995,1,1551.0
franco_mastrocesare,Larry101,-1,1763.0
leb_laden,Iismailkkk0512,-1,1452.0
Schacht_Konrad,Exilkubaner23,1,1741.0
jakutta31,VARG_17,-1,1178.0
TooRai,chessnub369,-1,1433.0
Timurr-64,BlackberryA,-1,2185.0
dan4ik123,TheMMAF,1,1705.0
Makkon,honikahd,1,1397.0
Noqss,OMARD4C6,-1,1494.0
anjumskhan_practice,Quindos_FC,-1,1931.0
Donotplaye4losers,Loord-90-T,-1,1903.0
vonvertanien,CJsir,1,1738.0
superkiko624,raffrantic2,1,1169.0
RAMujeeb,Waldwichtel,1,700.0
Ediz2020,dzid3q,1,828.0
rajesh333g,thierryguerin,1,1605.0
rrags,damafe,-1,2329.0
otmar1,smhasnb,1,1486.0
Chalidbinvelid,Vasiliy_Top,-1,799.0
omerl11,,401,1500.0
AbuOsamaAlBukhary,,401,1500.0
ESTEBAN_2022,ALPHA_BRAYAN,-1,2088.0
dokshaker,itihon,-1,1381.0
Mamdouh02,shazly99,1,1013.0
Mile_CR,belachikoy,-1,1759.0
ARISTEAMAV,king_rulerrr,-1,1787.0
Pavel_Ignatovich,cakal,1,1735.0
darkspeaker,Fabios_Xyz,-1,1553.0
Lugiaboss,Ayks1986,-1,1941.0
ChillbroSwaggins,abhishek_2312,-1,1909.0
dnonko,Picard359,-1,1635.0
e-rose-jr,nordsign,-1,1723.0
sanups,gudenius,1,1591.0
Burgui84,,401,1500.0
nephertus,,401,1500.0
NaAbordazh,Princess_4zula,1,2120.0
eycek_angara,LastPharaoh,1,1908.0
HarryPotterStyle,vesna_kot,1,1200.0
Clau_013fg,Navgad,-1,1123.0
Shamil778,islamhosni1975i,-1,1314.0
Zaven_ChessMood,ViktorDmitrenko,-1,2461.0
rdsr1993,BlueLyon,1,1360.0
Bruno0404,Sasha_Dorn,1,1020.0
mss1380,Franquetot,-1,1555.0
patelniamp3,zane75,1,2111.0
silverkid93,constantin80,-1,1672.0
mendelabramzon,irazam,-1,1181.0
utkal100,Fadeum,-1,1509.0
SnipeVenom,LUK452,-1,1146.0
Nightmare22,Can-D,-1,1710.0
vovka80,GirLena,-1,1629.0
Dito_84,Kvc1,1,974.0
bustofredon,skatseeker,-1,679.0
cottoncloud,Fighter1000,-1,1420.0
Julia444,sabarna24,-1,1327.0
MegnussKarlsenn,Serehga,-1,1613.0
LilTyki,grillito347,1,1287.0
Yadrilo,RundundGross,-1,1111.0
lcnight,blbaknoobak,1,1334.0
Azzoh,tonnychess1,1,1549.0
Superpigg,leninkmacho,1,1050.0
KirillKitlin,,401,1500.0
MontyPythonStrategy,,401,1500.0
divacleeva,Vladrim,1,1810.0
qwopzm,johndeboer,-1,1793.0
SimonSuperHans,lucasecr,-1,1468.0
Gcarisio,Matthew04,-1,1680.0
cepe,chessman04,-1,1640.0
g0ra1,Voshod23,1,2132.0
greatblunderkid,khanstant,-1,1364.0
Silver_Taurus,Jumpingcastle5,-1,2108.0
Chirrete,,401,1500.0
Damirka15,,401,1500.0
sandesh9031,Krotaloz,1,1457.0
Jacheng_Ginchipa,Norzhun,1,1821.0
ROMANII1,tonikelao,-1,1223.0
Hpkznr,principiantembh,-1,1646.0
intombi,PoyPoi,1,1686.0
AlanX100,GUILLENA68,-1,1146.0
Blockaded,Puksa,-1,1944.0
saleh_adel,Rsmrov,1,1255.0
vugge,Mhabmc,1,1426.0
qazya1,rkb2918,1,1136.0
ZinhomAyaz,iiljima2,1,1030.0
luaua,ZtHnamte,1,1876.0
GreenElefant,Stevesanders1980,1,1427.0
IwantToBeGood,Andiya_Doroodgar,-1,2534.0
cautiousman,Sallaia,-1,1136.0
serezha_2000,Alice6789,-1,1304.0
hahahal,Onpasseng,1,1511.0
bhong1980,zamirRP,1,1407.0
Muslie,Tobi45678,-1,1556.0
AleksLeshiy14,Broon74,1,851.0
LIIoKoLaD,mercurylives,1,1023.0
EzysD,RexRector,1,1161.0
DarshSomani,Raul2506,-1,1268.0
Zipperface,Amir_1,-1,2137.0
bjlfzs,Blitzboi2,-1,2174.0
JJBS,tarunmitra,1,1571.0
dr_ivan,,401,1500.0
RE-BORN,,401,1500.0
jojolikestoboki,Gianluigi_44,1,1535.0
A123B456C,Eleazar_Aracena,-1,2166.0
Maryam750,adcggg,-1,1163.0
moduli,progyprog,-1,1375.0
SharifovGoowin,Clerkenwell_kid,1,1441.0
mikmik819,yakhnenko37,0,1865.0
poruchaosobnosti,Moon2424,1,1452.0
liussetiawan,Sindo09,1,1585.0
user5ten,mango54,-1,821.0
MasterBaris,Morice,1,1609.0
tema26mak,KaptMiki,0,1722.0
Taxmind,DeadlyCreck,-1,2285.0
Hamel_Chess,falbalad,-1,963.0
elon120,MatiasC22,1,1582.0
ryuandro,gemsbooth,-1,1850.0
Benjo68,kingarthur3737,1,1467.0
Raul_Bustillos,Om_Prakash_Sharma00,0,1271.0
Viniaxcs,Yang_Fan,0,943.0
Borchick04,Houghlass,1,1457.0
goncalo1055,ilvikingo,-1,1258.0
MazinTonga,MrKoK007,-1,1372.0
Hussein_Mahmoud98,SimaoChess,1,1859.0
Javilinx,SebiWazir,-1,1624.0
cassie_08,Craig66,-1,1821.0
m0pek,bobrownikownik,1,979.0
gggddss,HamsterJedi,-1,1836.0
Mr-Pes,BM_AlexMunkHjort,-1,1714.0
Nalimanana,sherlockholmeswatson,-1,1652.0
CroPol,SA52,-1,1518.0
mohammadrezaMortajez,Taba101,1,1097.0
oko66,naser46,-1,1999.0
Tangs,xxxdanxxx,-1,985.0
nazarioquispe29,Ririno,1,1400.0
Artemon-2012,xuser,0,2232.0
ch_keks,DLIRIUM,1,1309.0
saeidkh,Pjotre1,1,1890.0
jackv18,stfbox1,1,1104.0
Staro4kaZ,rza112,-1,1741.0
amateuraoa,cahit62,1,1616.0
mlodymagnus,pod777,-1,1814.0
luisfv_1,Jovedoplay,-1,1775.0
Vdarshan-Ep,sdrk,-1,1491.0
Darkshadow-9171,jonomasa,1,1707.0
ZOGMA,Jfbdbsh,0,1487.0
AaravDol,slick44,-1,1830.0
tootoo504,purpleski,-1,1517.0
Chess251995,Richi110,-1,1549.0
Kent_06,Masterdamus,-1,1591.0
ShoOpyat,Silaka12,-1,1028.0
qwertability,Aclis,-1,1530.0
chazsr,TPiede,-1,1208.0
krish292015,himikilla,1,1408.0
Buster001,LW_chess,1,1865.0
kabirchampion,Manikkhan,1,2026.0
ostadali,skont83,1,1731.0
SaidCh_2015,Vicrosten,1,1705.0
sirchess123,dps78,-1,1152.0
abyuya,hashus6,1,1500.0
Johnsimanwe207,Titikiza4Life,-1,1853.0
PrincesaMaciel,bloc32,1,1694.0
davechess,stefoz,1,1366.0
mb1168,AzaxixAx,-1,
Ahmed_muhammed_fekry,aiden_m,-1,1397.0
lyxxj,Phoenix_Warrior2024,-1,2447.0
Krismalyhina,Rizky2357,1,1030.0
Victoria11i,vega45,-1,1400.0
Alescei,jasare,1,1529.0
ansh_malhotra,QUMX,1,809.0
BossUltra,lixus1969,-1,1313.0
checkmatechortles,yashpal_singh,-1,1359.0
lagranja,Vera_Rassulova,1,803.0
Teinuka,ShianKen,-1,864.0
African_Firoujza,Hauser1988,-1,1862.0
catsvsllamas,Juanfelix12,1,1215.0
Jumanji135,FarkasVilloHanna,-1,1233.0
dyz1,carlos655,1,2068.0
ShammyBammy,justforest23,0,768.0
Pappo-blues,Tri-chess,1,1232.0
RobertoPetrini,ALIKP2312,1,1551.0
seyedmoeinoddin,ChessV45,-1,1397.0
