user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
MilverAnatol,50.0,40.0,10.0,30.0,1674.0
ArKen,62.0,27.0,11.0,100.0,1985.0
L35L13,64.0,35.0,1.0,100.0,2096.0
Petiso400,0.0,100.0,0.0,3.0,1963.0
spiterozo01,55.0,43.0,2.0,100.0,1688.0
rurkowiec3,49.0,48.0,3.0,100.0,1551.0
weimann,39.0,57.0,3.0,100.0,1595.0
Bubi44,54.0,43.0,3.0,100.0,1863.0
Reaper_2024,52.0,36.0,10.0,57.0,2375.0
Chico_Cat,50.0,37.0,12.0,24.0,1342.0
UncleTito,53.0,42.0,5.0,100.0,1633.0
Gleb_leader,40.0,51.0,9.0,100.0,1766.0
Artilerije,56.0,43.0,1.0,100.0,2265.0
realbaaam,59.0,39.0,2.0,100.0,1377.0
marubechess,38.0,54.0,8.0,100.0,1509.0
Rimigug,57.0,37.0,5.0,100.0,2428.0
ozcel,49.0,46.0,5.0,100.0,2042.0
Khurana111,46.0,45.0,9.0,100.0,1711.0
Schaffinho14,37.0,61.0,2.0,100.0,556.0
LeeHongYy,46.0,49.0,5.0,100.0,1890.0
HinDavid,50.0,50.0,0.0,18.0,1016.0
justttte,47.0,48.0,5.0,100.0,1853.0
GeorgeT23,0.0,100.0,0.0,15.0,1413.0
afdavid77,0.0,100.0,0.0,6.0,1658.0
WerWurm,50.0,39.0,11.0,100.0,1888.0
Tamrin87,0.0,100.0,0.0,3.0,2063.0
TORRE7,40.0,57.0,2.0,100.0,1416.0
biokompott,47.0,46.0,7.0,100.0,1947.0
JFC-2024,50.0,41.0,9.0,100.0,1647.0
ArsenBelarus,44.0,50.0,5.0,54.0,1977.0
ABC-XYZ-12345,0.0,100.0,0.0,3.0,2087.0
molau02,59.0,39.0,2.0,100.0,1743.0
Serg62305,48.0,46.0,6.0,100.0,1329.0
Pan_Skoczyslaw,50.0,41.0,8.0,36.0,2001.0
moralino,56.0,35.0,9.0,100.0,1304.0
proekt2020,39.0,59.0,2.0,100.0,1492.0
kenseitrg,46.0,53.0,1.0,100.0,1349.0
dudaksizzz,56.0,38.0,6.0,100.0,1453.0
Anam,50.0,44.0,5.0,54.0,2018.0
aggrkrov,45.0,45.0,9.0,33.0,2102.0
shashim123,45.0,45.0,10.0,100.0,959.0
ruanxzl,50.0,50.0,0.0,26.0,1327.0
xenochropa,37.0,60.0,3.0,100.0,1692.0
implay,33.0,33.0,33.0,9.0,1809.0
Felicidad_repulsiva,42.0,57.0,0.0,21.0,2197.0
craftiest1,46.0,43.0,11.0,100.0,1418.0
quilazo,43.0,47.0,10.0,100.0,1901.0
ZehLeleh,49.0,46.0,5.0,100.0,1369.0
Rama_009,47.0,42.0,11.0,100.0,1862.0
Percy20,39.0,56.0,5.0,100.0,1385.0
WeirdLogic,45.0,52.0,3.0,100.0,2045.0
Nanay333,55.0,44.0,1.0,100.0,1617.0
zedoju,56.0,40.0,4.0,100.0,1901.0
Mathaias83,41.0,55.0,4.0,100.0,1818.0
aarvierawat,35.0,62.0,3.0,100.0,1615.0
SojaTonia,40.0,53.0,7.0,100.0,1417.0
JPractice,50.0,44.0,5.0,54.0,1408.0
forcachess,16.0,76.0,8.0,100.0,1734.0
vuleorlic,49.0,46.0,5.0,100.0,2165.0
Hakinci1,51.0,47.0,2.0,100.0,2181.0
kasparloff,57.0,39.0,3.0,100.0,1729.0
metax322,39.0,56.0,5.0,100.0,784.0
NFarrow,45.0,52.0,3.0,100.0,1778.0
Pblu35,68.0,18.0,14.0,100.0,2695.0
Rassev,53.0,41.0,6.0,100.0,1787.0
lucasapdossantos,69.0,30.0,0.0,69.0,1689.0
vrella,48.0,48.0,4.0,100.0,1492.0
panteranegra2390,50.0,37.0,12.0,8.0,1811.0
carobarcena,36.0,60.0,4.0,100.0,924.0
ahiiiiiii,45.0,53.0,1.0,60.0,1206.0
Skyff,48.0,49.0,3.0,100.0,1700.0
elaganail,43.0,56.0,0.0,48.0,1736.0
toolateforchess,39.0,51.0,10.0,100.0,841.0
jalal6106,51.0,47.0,2.0,100.0,1328.0
thota4,47.0,47.0,6.0,100.0,1718.0
Warrior1729,53.0,46.0,0.0,39.0,1256.0
mapsstfu,46.0,52.0,2.0,100.0,1500.0
NourYehia,48.0,49.0,3.0,100.0,1959.0
Ra02,56.0,37.0,6.0,100.0,1722.0
Sjndl,48.0,49.0,3.0,100.0,1025.0
Rembi163,51.0,46.0,3.0,100.0,1009.0
daviduroz,36.0,59.0,5.0,100.0,2200.0
baaxee,44.0,53.0,3.0,100.0,1260.0
erwinlaurino,48.0,48.0,4.0,100.0,1945.0
MiguelMonsalve1,52.0,47.0,1.0,100.0,1710.0
veterinariacanto,60.0,36.0,4.0,100.0,2044.0
QueenSniffer,44.0,47.0,9.0,100.0,2080.0
mateobailo,39.0,59.0,2.0,100.0,1172.0
Phontsha_1,0.0,100.0,0.0,3.0,1274.0
Chevalieraupancreas,42.0,42.0,14.0,21.0,1602.0
hitthebongjack,21.0,71.0,7.0,42.0,1670.0
AM_HeadRover,60.0,32.0,8.0,100.0,1592.0
Salavat1973-04,64.0,28.0,8.0,100.0,2140.0
Penguinlord3120,37.0,62.0,0.0,48.0,1708.0
MayroBlue,0.0,100.0,0.0,3.0,1886.0
Rejected_1,56.0,40.0,4.0,100.0,1825.0
ThanhWilliamLe,49.0,50.0,1.0,100.0,1767.0
executive30,66.0,29.0,3.0,27.0,2068.0
Theexaltedpawn,42.0,42.0,14.0,21.0,1789.0
miguelgasparchess,49.0,50.0,1.0,100.0,1547.0
zovimenyapapa,56.0,42.0,2.0,100.0,1625.0
Buddy15,60.0,36.0,4.0,100.0,2266.0
VinesToni,48.0,46.0,6.0,100.0,1881.0
HerbalHerbb,55.0,43.0,2.0,100.0,1754.0
jackmaaa254,35.0,64.0,1.0,100.0,1429.0
Boimwitnik_chess,42.0,56.0,2.0,100.0,1917.0
Dima_K_1973,39.0,59.0,2.0,100.0,1582.0
AP2812,44.0,53.0,3.0,100.0,1669.0
AAAVIII,51.0,49.0,0.0,100.0,1838.0
Israfill,53.0,46.0,0.0,84.0,1530.0
Toomanywines,43.0,51.0,6.0,100.0,1763.0
KG77,51.0,45.0,4.0,100.0,2241.0
Franklyterrible1,41.0,54.0,5.0,100.0,1306.0
jmetzmeier,55.0,44.0,1.0,100.0,1227.0
Yossarian222,52.0,37.0,11.0,100.0,2455.0
Nizi3,73.0,11.0,16.0,100.0,2738.0
rezzaahs,52.0,44.0,4.0,100.0,1610.0
fmjuancperez,41.0,50.0,9.0,100.0,2265.0
PanPion,46.0,48.0,6.0,100.0,1672.0
Manni1,42.0,53.0,5.0,100.0,2101.0
Deutsch-Momo,43.0,54.0,3.0,100.0,1398.0
VladimirAbrosimov,50.0,48.0,2.0,100.0,1864.0
calinpaduraru,52.0,48.0,0.0,100.0,1034.0
Dasharathisahoo,70.0,28.0,2.0,100.0,2087.0
iclomind,43.0,51.0,6.0,100.0,1560.0
amauryxiv,40.0,55.0,5.0,100.0,1769.0
groccc,80.0,20.0,0.0,15.0,1686.0
HeskeBeast69,46.0,52.0,2.0,100.0,1397.0
ressa,53.0,44.0,3.0,100.0,2361.0
ajedrez10deagosto,100.0,0.0,0.0,6.0,1743.0
Ache4,59.0,40.0,1.0,100.0,1545.0
azamatgayn,56.0,43.0,0.0,100.0,1833.0
Ownaged,44.0,52.0,4.0,100.0,2033.0
nouri133,44.0,56.0,0.0,100.0,1048.0
SuperMarioChess,54.0,45.0,0.0,66.0,1810.0
Nkateko01,50.0,46.0,4.0,100.0,1384.0
MSqwerty,51.0,40.0,9.0,100.0,1591.0
Dark_Fenix,45.0,54.0,0.0,33.0,2367.0
darkicewarrynn,47.0,45.0,8.0,100.0,1945.0
rbb01,56.0,44.0,0.0,100.0,1387.0
mimik1,47.0,49.0,4.0,100.0,1011.0
MHD-021,44.0,51.0,5.0,100.0,1856.0
umutbasli11,35.0,61.0,4.0,100.0,1565.0
AgentBlindTakes,40.0,53.0,7.0,100.0,1940.0
Romainl44,48.0,43.0,9.0,100.0,2055.0
sioya,59.0,38.0,3.0,100.0,1961.0
SsWQYsS,0.0,100.0,0.0,3.0,1967.0
Glorfindel17,48.0,44.0,8.0,100.0,2323.0
Checkmatefre,48.0,48.0,4.0,100.0,1951.0
GautamRao,52.0,42.0,6.0,100.0,1537.0
YugoChess,49.0,50.0,1.0,100.0,1831.0
CaptainAymanChess,100.0,0.0,0.0,39.0,1857.0
naveen2004,66.0,32.0,2.0,100.0,2350.0
rudynatale,56.0,44.0,0.0,100.0,1644.0
cashmilano,51.0,44.0,5.0,100.0,1952.0
mechermd,45.0,46.0,9.0,100.0,1922.0
IvanPobedovTomsk,50.0,49.0,1.0,100.0,1363.0
llll_lllll,31.0,65.0,2.0,38.0,1163.0
Hardedot,49.0,41.0,10.0,100.0,1103.0
brudentile,45.0,49.0,6.0,100.0,1971.0
Abrakadabraka,50.0,50.0,0.0,12.0,1911.0
Presly_Fischer,55.0,44.0,0.0,27.0,1382.0
wmh86,47.0,47.0,4.0,63.0,1591.0
breligion,46.0,48.0,6.0,100.0,1845.0
PUN_Bandara,48.0,48.0,3.0,31.0,1373.0
Nadi_anyer,48.0,50.0,2.0,100.0,1896.0
Artur_Kamaldinov,49.0,46.0,5.0,100.0,2177.0
leuferopfer,52.0,46.0,2.0,100.0,1387.0
YAN2345,40.0,60.0,0.0,15.0,1127.0
NG1102,33.0,66.0,0.0,3.0,1233.0
lucas_ar,66.0,33.0,0.0,9.0,1648.0
Yassertinawy,35.0,61.0,4.0,100.0,1971.0
Kurban2023,41.0,50.0,8.0,36.0,1953.0
PrrplSqrrl,0.0,100.0,0.0,6.0,1627.0
Reinaldo-Toledo,33.0,55.0,11.0,54.0,1986.0
zeora_xio,50.0,42.0,7.0,14.0,1511.0
Psychodoc1411,55.0,40.0,5.0,100.0,2149.0
akozlov002,47.0,48.0,5.0,100.0,1963.0
FCSM_ARTI,45.0,54.0,1.0,100.0,1366.0
Fomdox,51.0,45.0,4.0,100.0,2132.0
Katikillo,63.0,31.0,6.0,100.0,2024.0
TIRTI22,49.0,44.0,7.0,100.0,1706.0
edudutraufmg,44.0,53.0,3.0,100.0,1771.0
LUQUETJC,59.0,40.0,1.0,100.0,1548.0
Jhay_24,51.0,44.0,5.0,100.0,1486.0
klodsky99,50.0,50.0,0.0,6.0,1571.0
AnatolyKhechi,45.0,52.0,3.0,100.0,2132.0
goggip,26.0,62.0,12.0,100.0,1777.0
mikee_04,41.0,47.0,12.0,100.0,2131.0
ImpureKing,53.0,42.0,5.0,100.0,1933.0
oberhirt,47.0,51.0,2.0,100.0,1389.0
MoiRon,49.0,43.0,8.0,100.0,2002.0
vladimir_bg,52.0,37.0,11.0,100.0,2107.0
Saidislom33,23.0,77.0,0.0,100.0,1377.0
Timanir,53.0,41.0,6.0,100.0,1416.0
Bebosik,42.0,52.0,5.0,57.0,1932.0
valievareg,45.0,52.0,3.0,100.0,1577.0
KingInTheMaking,52.0,43.0,5.0,100.0,1551.0
agrendallan,75.0,21.0,4.0,100.0,1701.0
brydyk,32.0,68.0,0.0,75.0,814.0
dhivyasri,25.0,75.0,0.0,24.0,1502.0
jospascual,42.0,57.0,0.0,78.0,1618.0
RafMant73,46.0,53.0,1.0,100.0,1747.0
Ischneiderlin,65.0,33.0,2.0,100.0,1541.0
V0XYL,50.0,44.0,5.0,54.0,1289.0
YungHussler,71.0,11.0,17.0,35.0,2401.0
dididonaklea,52.0,44.0,4.0,100.0,1344.0
YousifGm,50.0,45.0,4.0,66.0,1725.0
WhiteNight3NorthWind,43.0,52.0,5.0,100.0,1735.0
Dantino1,38.0,61.0,1.0,100.0,1673.0
ReTestone,0.0,0.0,100.0,6.0,1736.0
francisco2310,39.0,53.0,8.0,100.0,1655.0
schachas,48.0,49.0,3.0,100.0,1938.0
Milao2022,49.0,49.0,2.0,100.0,1121.0
Peculiarity_ensuing,45.0,54.0,0.0,99.0,1352.0
carlosenriquenovillo,50.0,50.0,0.0,12.0,1354.0
wherearethetrousers,42.0,57.0,0.0,100.0,1984.0
King19812024,0.0,100.0,0.0,3.0,1345.0
Hiderseek,56.0,41.0,2.0,100.0,1505.0
king_go,43.0,56.0,1.0,100.0,2027.0
Alex333ksandr,0.0,100.0,0.0,3.0,1336.0
Aldovicente,39.0,57.0,3.0,100.0,1467.0
BatataWn,29.0,70.0,0.0,51.0,1036.0
Mahadewa_HCN,56.0,43.0,0.0,100.0,2040.0
zakizaki19,53.0,36.0,11.0,100.0,2350.0
IQpure,53.0,42.0,5.0,100.0,1285.0
raggli,54.0,41.0,5.0,100.0,1872.0
richard63,51.0,49.0,0.0,100.0,1333.0
SVOBODN1Y,45.0,44.0,11.0,100.0,1780.0
MightyRookus,50.0,50.0,0.0,54.0,1633.0
Anneo,65.0,35.0,0.0,100.0,1379.0
rootpoi,50.0,50.0,0.0,72.0,2088.0
Encemo,52.0,46.0,2.0,100.0,1751.0
Ahmed6020,46.0,52.0,2.0,100.0,1416.0
Pradeep29091997,45.0,50.0,5.0,100.0,1262.0
Yildiznimetakkus_03,50.0,49.0,1.0,100.0,1086.0
abughaith83,47.0,49.0,4.0,100.0,1790.0
saufer,56.0,40.0,3.0,100.0,1686.0
BainaFlorid,67.0,25.0,8.0,100.0,2460.0
Llorenc_99,45.0,54.0,0.0,22.0,1719.0
Pedrogutierrez,56.0,43.0,1.0,100.0,1406.0
Bekhzod_coach,71.0,26.0,3.0,100.0,2014.0
baby8,50.0,47.0,3.0,100.0,1593.0
McHardknox,50.0,44.0,6.0,100.0,1595.0
Petitzizourobuste,43.0,50.0,7.0,100.0,1767.0
MichelGross,49.0,46.0,5.0,100.0,1878.0
litag,50.0,43.0,7.0,100.0,1839.0
Clementpena-14,20.0,44.0,36.0,75.0,1017.0
checkmate3212,68.0,31.0,0.0,57.0,1680.0
katakuri2,45.0,53.0,2.0,100.0,1845.0
Fridolf06,55.0,40.0,5.0,100.0,2021.0
surani,48.0,50.0,2.0,100.0,1953.0
Petersucks,81.0,18.0,0.0,33.0,2083.0
kibk3,47.0,46.0,7.0,100.0,1558.0
igomingo,40.0,57.0,2.0,100.0,1592.0
Moneeb,48.0,50.0,2.0,100.0,1652.0
Kuzelnik,35.0,49.0,16.0,100.0,2353.0
OscarYu,52.0,45.0,3.0,100.0,2003.0
poirot86,34.0,65.0,0.0,69.0,1645.0
janjoca,49.0,45.0,6.0,100.0,2074.0
Danielstrike,46.0,51.0,3.0,100.0,1280.0
rosa_rojas28,61.0,38.0,0.0,13.0,1689.0
StargateGambit,38.0,46.0,15.0,39.0,1854.0
RUBL,42.0,56.0,2.0,100.0,1606.0
siberet,33.0,65.0,2.0,100.0,1817.0
ItIsAwkward,57.0,39.0,3.0,100.0,1795.0
zoarprodhan,63.0,27.0,9.0,33.0,2255.0
yoki1925,55.0,38.0,7.0,100.0,1991.0
il_tripero,48.0,49.0,3.0,100.0,1470.0
EtliEkmekv2,54.0,39.0,7.0,100.0,1441.0
puessi,45.0,51.0,4.0,100.0,1438.0
Miguel_PUCP,43.0,55.0,2.0,100.0,1343.0
Gopsy,54.0,42.0,4.0,100.0,1626.0
Babyboyharju,52.0,47.0,1.0,100.0,1696.0
Test-of-Time,41.0,37.0,20.0,72.0,2214.0
N-A67,47.0,51.0,2.0,100.0,1754.0
ZakMat,53.0,44.0,3.0,100.0,1727.0
antrasi70,37.0,59.0,3.0,96.0,1721.0
R_DK,38.0,61.0,1.0,100.0,648.0
Qitty,38.0,61.0,0.0,39.0,2243.0
Pawneess,100.0,0.0,0.0,3.0,1755.0
pep_olmos,41.0,56.0,3.0,100.0,1311.0
DomPfeiffer,49.0,50.0,1.0,100.0,1956.0
AF69,46.0,48.0,6.0,100.0,1820.0
flyingbrick,45.0,53.0,2.0,100.0,1341.0
ArturKatowice,46.0,49.0,5.0,100.0,1115.0
asertyy,38.0,61.0,0.0,54.0,978.0
TheranosIsLegit,53.0,34.0,11.0,78.0,2310.0
Murattpcu,51.0,45.0,4.0,100.0,1705.0
DomineCabra,50.0,50.0,0.0,100.0,1447.0
OkayChess,43.0,50.0,6.0,48.0,1915.0
Psycho_Killer_01,0.0,63.0,36.0,33.0,1874.0
BrunoLeBarman,50.0,42.0,8.0,100.0,798.0
sai_2001,50.0,50.0,0.0,6.0,2017.0
Abou26,45.0,53.0,2.0,100.0,1404.0
Godfa,47.0,51.0,2.0,100.0,1522.0
EngChishimba,33.0,33.0,33.0,9.0,2305.0
Ishimova11,41.0,52.0,7.0,100.0,951.0
folkxs,30.0,66.0,3.0,90.0,1923.0
mv_hier,46.0,53.0,1.0,100.0,1025.0
bangkiit_SLI,41.0,58.0,0.0,51.0,2030.0
Caballo-inmortal,16.0,72.0,11.0,54.0,2131.0
DylanPiwari,56.0,39.0,4.0,100.0,2282.0
xxxgrishaxxx,45.0,49.0,6.0,100.0,1513.0
OmerSahin48,50.0,50.0,0.0,30.0,1938.0
Jadappa,50.0,48.0,2.0,100.0,1416.0
mehdialigol,41.0,53.0,6.0,100.0,1824.0
Red_Ermine,43.0,56.0,0.0,48.0,1776.0
Calisano2314,33.0,66.0,1.0,100.0,1676.0
Carlos-Ecuador,56.0,40.0,3.0,100.0,1357.0
herpo,44.0,55.0,1.0,100.0,1645.0
sisi2008,59.0,41.0,0.0,100.0,1704.0
Josayayque,40.0,56.0,4.0,75.0,2428.0
alireza500,46.0,46.0,6.0,45.0,1351.0
aliakbas06,40.0,60.0,0.0,15.0,957.0
Pradeeppbt,0.0,100.0,0.0,3.0,1348.0
gluhovchanin,56.0,39.0,4.0,69.0,1866.0
IsaacAbheek,45.0,55.0,0.0,100.0,2215.0
Dstickz,43.0,53.0,4.0,100.0,1747.0
howtoshuffle,55.0,42.0,3.0,100.0,1204.0
darktorr,30.0,61.0,7.0,39.0,1620.0
mongthangmotlan,51.0,48.0,1.0,100.0,1661.0
txere,40.0,60.0,0.0,30.0,1649.0
SergoZubr,56.0,39.0,4.0,69.0,1733.0
Generic_gamer,48.0,41.0,11.0,100.0,1535.0
gabersaker,43.0,54.0,3.0,100.0,1816.0
take_my_pawns1,28.0,71.0,0.0,21.0,1490.0
Lesly1986,0.0,100.0,0.0,3.0,1918.0
LukaMudischeff,51.0,45.0,4.0,100.0,1647.0
unexpectedirstmove,50.0,48.0,2.0,100.0,1015.0
meisterreineke,25.0,75.0,0.0,12.0,1607.0
Polito67,55.0,42.0,3.0,100.0,2077.0
Kokos91,46.0,50.0,4.0,100.0,1818.0
SUPERTALLS,32.0,66.0,2.0,100.0,1852.0
Fuzzzey,50.0,40.0,8.0,79.0,1456.0
Chesterton58,38.0,53.0,7.0,39.0,1669.0
tidaro,33.0,66.0,0.0,9.0,1740.0
bunnycubes,38.0,57.0,4.0,63.0,1920.0
Ego_2011,60.0,34.0,6.0,100.0,2233.0
OsIv90,49.0,45.0,6.0,100.0,1649.0
melvanz,46.0,43.0,11.0,100.0,2014.0
nizzydrip,57.0,39.0,3.0,100.0,1986.0
sagan01,49.0,49.0,2.0,100.0,1092.0
Ikhsanzain_LPA,45.0,53.0,2.0,100.0,2092.0
Kera-Kera,48.0,51.0,1.0,100.0,1833.0
pedro_garzav,46.0,49.0,5.0,100.0,1382.0
sue331,50.0,50.0,0.0,72.0,1743.0
ConMan_NH,33.0,66.0,0.0,9.0,1521.0
francastillo,44.0,50.0,6.0,100.0,1990.0
fr_ancie,31.0,56.0,12.0,48.0,1704.0
hansraegenkurt7,82.0,8.0,8.0,69.0,1906.0
ajb56,45.0,46.0,9.0,100.0,1908.0
AL2612,0.0,100.0,0.0,2.0,1169.0
mchelken,38.0,61.0,0.0,39.0,1836.0
Nebdvdmdv,42.0,54.0,4.0,100.0,2220.0
AboMarwa,43.0,43.0,13.0,69.0,1626.0
RDRaviya,51.0,43.0,6.0,100.0,2124.0
walidxnasr,59.0,33.0,8.0,100.0,1156.0
kavm0708,56.0,42.0,2.0,100.0,1380.0
macanao2,45.0,53.0,2.0,100.0,1790.0
MAGNUSLEBARBARE,25.0,75.0,0.0,12.0,1889.0
TomDubz,71.0,24.0,5.0,100.0,1868.0
SEBASTIANLA,48.0,52.0,0.0,100.0,871.0
Sabay64,55.0,39.0,6.0,100.0,1836.0
Simba0303,47.0,50.0,3.0,100.0,1722.0
lukasdubsky,34.0,61.0,3.0,78.0,1916.0
neom_rafay,44.0,48.0,6.0,87.0,1475.0
pestol_air,52.0,46.0,2.0,100.0,1865.0
harith_23,47.0,53.0,0.0,100.0,1226.0
rohmatt,52.0,46.0,2.0,100.0,2067.0
Bienteveo,33.0,67.0,0.0,100.0,1187.0
carlyle11,44.0,49.0,7.0,100.0,1822.0
Mihail1403,65.0,28.0,6.0,100.0,2183.0
RjadM,50.0,50.0,0.0,18.0,642.0
Giottolino,51.0,46.0,3.0,100.0,840.0
konstantin-12345,50.0,47.0,3.0,100.0,1716.0
EMMADXTRA,57.0,39.0,3.0,100.0,1868.0
DESTRUCTOR-NAYARITA,100.0,0.0,0.0,6.0,2208.0
HieronymusSchall,55.0,39.0,6.0,100.0,1756.0
Ximaj,48.0,44.0,8.0,100.0,2000.0
Boris_2185,35.0,64.0,0.0,42.0,1010.0
borko78,43.0,48.0,9.0,100.0,1809.0
mdranjbar,39.0,56.0,4.0,100.0,1537.0
arunpassi83,41.0,54.0,5.0,100.0,1498.0
Ayoub08362,37.0,43.0,18.0,16.0,1359.0
StarWars1970,52.0,41.0,7.0,100.0,1130.0
superpowerl,0.0,0.0,100.0,1.0,1500.0
SheSaid,100.0,0.0,0.0,3.0,1599.0
Mehdiyab,51.0,46.0,3.0,100.0,1520.0
Phillimaster,48.0,48.0,3.0,99.0,1755.0
BeneG,45.0,53.0,2.0,100.0,1709.0
Dadisalwaysgreat,58.0,34.0,6.0,87.0,1640.0
potvin,41.0,50.0,9.0,100.0,1905.0
Black1969,48.0,45.0,7.0,100.0,1535.0
chessmanuz2023,69.0,28.0,3.0,100.0,1904.0
thecook12,44.0,54.0,2.0,100.0,1515.0
FrancisTalaboc18,62.0,28.0,9.0,100.0,2275.0
Castledeknight,50.0,45.0,5.0,100.0,1850.0
putra12345d,43.0,48.0,9.0,100.0,1977.0
coldraisins,47.0,51.0,2.0,100.0,1921.0
afshin80959,42.0,57.0,0.0,7.0,1545.0
kameramen0,49.0,47.0,4.0,100.0,1277.0
regularnutjob,0.0,100.0,0.0,3.0,
Shyam007rock,31.0,65.0,3.0,96.0,1970.0
Arsam2013,55.0,42.0,3.0,100.0,2068.0
tatipell74,36.0,60.0,4.0,100.0,1484.0
ilamONTASH1,45.0,53.0,2.0,100.0,2161.0
ben_90,38.0,55.0,7.0,100.0,1527.0
Diliprk,45.0,53.0,2.0,100.0,1061.0
joaoschimith,33.0,66.0,0.0,36.0,1001.0
Panmegas,31.0,57.0,11.0,100.0,1944.0
percyvegac,100.0,0.0,0.0,3.0,1740.0
PAVVIL,34.0,61.0,5.0,100.0,1881.0
EthanPicardal,62.0,37.0,0.0,24.0,1329.0
Black_7hunder,100.0,0.0,0.0,9.0,1899.0
CapablancaMasterMind,50.0,29.0,20.0,72.0,2292.0
SMullyan,41.0,55.0,4.0,100.0,1686.0
E5F4,50.0,46.0,4.0,100.0,1816.0
UbrKrasnodar_52,9.0,90.0,0.0,11.0,795.0
Palat,45.0,52.0,3.0,100.0,1207.0
Muemin37,34.0,64.0,2.0,100.0,1524.0
Brueckentroll,42.0,53.0,5.0,100.0,1849.0
flufludiablo,56.0,41.0,3.0,100.0,2033.0
Antonkit1979,43.0,49.0,8.0,100.0,1712.0
gamerblaze7639,40.0,60.0,0.0,15.0,863.0
savagecabbage200,35.0,60.0,5.0,20.0,1589.0
cronaldinho,48.0,49.0,3.0,100.0,2130.0
boro4u,50.0,46.0,4.0,100.0,2184.0
lion_king_99,100.0,0.0,0.0,3.0,2373.0
Fossybaer,49.0,47.0,4.0,100.0,1681.0
Salvo_Pappalardo_CT,49.0,43.0,8.0,100.0,1625.0
Pushi7879,60.0,40.0,0.0,30.0,955.0
MadeinChitipa,68.0,31.0,0.0,57.0,1586.0
loval4ever,38.0,56.0,5.0,100.0,1918.0
TheAdventurous,44.0,51.0,5.0,100.0,1650.0
Yousefas218,45.0,53.0,2.0,100.0,1547.0
yosef2341,40.0,54.0,6.0,100.0,1913.0
Tsuak,30.0,54.0,16.0,100.0,2075.0
filidor77,40.0,59.0,0.0,96.0,1804.0
Suzanasilva,51.0,45.0,4.0,100.0,1365.0
nuwandahel,44.0,53.0,3.0,100.0,1714.0
Senzou,39.0,61.0,0.0,100.0,1411.0
man1akk1,47.0,53.0,0.0,100.0,1607.0
Matrixx47,44.0,52.0,4.0,100.0,1796.0
ERFAN_NASROLLAHI44,50.0,50.0,0.0,36.0,2167.0
satwikshetty,37.0,62.0,1.0,100.0,1623.0
Manjunatha_S,46.0,52.0,2.0,100.0,1439.0
TheHorseyOne,40.0,54.0,4.0,66.0,1273.0
gonejko,49.0,49.0,2.0,100.0,1918.0
shayanHN15,53.0,43.0,4.0,100.0,2055.0
KkapivaroviskK,51.0,45.0,4.0,100.0,1682.0
windar21,47.0,47.0,6.0,100.0,1800.0
ArturVF89,35.0,59.0,6.0,100.0,1524.0
Daggeah,0.0,100.0,0.0,3.0,1422.0
SadKnight1705,45.0,52.0,3.0,100.0,1702.0
bububublika,50.0,50.0,0.0,30.0,1927.0
Balgina-I,45.0,45.0,9.0,33.0,1360.0
USSR2_0,55.0,37.0,8.0,100.0,2302.0
Jenisu,53.0,40.0,6.0,45.0,1336.0
nozheo,43.0,50.0,7.0,100.0,1848.0
meteklan,63.0,24.0,13.0,100.0,2518.0
EDSON147852,43.0,51.0,6.0,100.0,1550.0
Baba_Dla_Bokr,54.0,43.0,3.0,100.0,2099.0
knittingmaster,55.0,43.0,2.0,100.0,1611.0
Airconix,33.0,66.0,0.0,9.0,1317.0
BlackDog888,49.0,42.0,9.0,100.0,1163.0
Chess_Lover90,44.0,44.0,10.0,87.0,2053.0
Sylma,48.0,51.0,1.0,100.0,1743.0
I10qbest,33.0,65.0,2.0,100.0,1302.0
Ashomekuuuum,63.0,27.0,9.0,33.0,2163.0
Alfredo195,63.0,35.0,2.0,100.0,1441.0
Rasulzade2,41.0,56.0,2.0,100.0,1274.0
UneVieillefemme,48.0,52.0,0.0,75.0,1390.0
Godsino,52.0,43.0,5.0,100.0,1946.0
