user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
sar2007,0.0,13.0,2.0,6.0
Maxwellbrot,1.0,9.0,0.0,13.0
hacheg,0.0,19.0,2.0,12.0
dims1990,1.0,10.0,0.0,11.0
M-DeVerdier,1.0,10.0,0.0,12.0
Shyam007rock,0.0,9.0,2.0,10.0
Crazy_Alchemist,0.0,10.0,2.0,9.0
vamosss,0.0,11.0,1.0,10.0
GuilhermeWSF,0.0,11.0,2.0,7.0
FryedChess,0.0,0.0,0.0,0.0
Quaradan,4.0,13.0,0.0,12.0
Ben_dm,2.0,7.0,0.0,5.0
StarFunKull,5.0,5.0,0.0,4.0
ajaykoli,0.0,10.0,2.0,11.0
trojmiastogdynia,0.0,7.0,2.0,10.0
Al_turron,0.0,16.0,3.0,9.0
CarlitosAlcaraz,1.0,10.0,0.0,8.0
KasparovSeinGaertner,1.0,11.0,0.0,10.0
taildraggers,2.0,11.0,0.0,13.0
Gwenuser12,0.0,7.0,1.0,7.0
SokoZ,0.0,17.0,8.0,11.0
chesspyrate,0.0,11.0,1.0,13.0
Catalonia-Kann,0.0,6.0,1.0,6.0
chess_follower,5.0,12.0,0.0,8.0
Hokage007,0.0,12.0,1.0,12.0
DailyTornado,8.0,20.0,0.0,9.0
Mixozya,0.0,7.0,1.0,8.0
Vahidm5995,0.0,10.0,1.0,13.0
mihhak,0.0,15.0,1.0,12.0
SKfox,1.0,10.0,0.0,11.0
UNDER_WORLD,0.0,29.0,1.0,9.0
Amory_Blaine,3.0,3.0,0.0,5.0
TheNotoriousCorn,1.0,6.0,0.0,5.0
ReceFiceBrumBrum,4.0,20.0,0.0,10.0
Zaya_777,0.0,9.0,2.0,4.0
milzral,0.0,1.0,2.0,7.0
jenish1609,0.0,5.0,2.0,13.0
semen_mor,0.0,11.0,2.0,6.0
trescuatro,1.0,19.0,0.0,8.0
shah7754shah,0.0,12.0,1.0,15.0
ruhulaminzaki,0.0,12.0,0.0,10.0
ninoecassandra,0.0,11.0,1.0,11.0
davidahoppe,0.0,18.0,2.0,17.0
PawnGrabber100,0.0,13.0,1.0,10.0
poirot84,0.0,12.0,9.0,9.0
n_skorostensky,1.0,5.0,0.0,5.0
didac29,0.0,3.0,1.0,10.0
mshah1033,1.0,5.0,0.0,4.0
Filipok_149,0.0,6.0,0.0,11.0
adtaylor,0.0,10.0,1.0,9.0
MATEVZ_2014,0.0,11.0,1.0,9.0
UralskKz,1.0,13.0,0.0,26.0
jorgeellgar,0.0,14.0,1.0,12.0
Tejas_Agarwal164,0.0,2.0,1.0,5.0
Ebert_Spider,0.0,8.0,2.0,7.0
haderli,0.0,11.0,1.0,13.0
kobandi,9.0,14.0,0.0,8.0
FirePhoenix89,0.0,14.0,1.0,9.0
MrWabiSabi,3.0,9.0,0.0,4.0
kbrk,0.0,10.0,1.0,12.0
Lynx_BOT,1.0,32.0,0.0,31.0
jesgluckner,0.0,13.0,1.0,14.0
Schweigenn2,0.0,8.0,1.0,11.0
Mansur123Y,0.0,9.0,1.0,7.0
Anonymous2010_11010,2.0,9.0,0.0,10.0
Wutangclan36,2.0,13.0,0.0,13.0
Hamedpendar3333,2.0,14.0,0.0,11.0
skydanser,1.0,12.0,0.0,13.0
JajajaQue,0.0,8.0,1.0,8.0
Eucclid34,2.0,9.0,0.0,12.0
AtomicApple,0.0,17.0,3.0,14.0
Madhavan93,0.0,8.0,2.0,9.0
midlman11,0.0,9.0,1.0,10.0
cbh1711,0.0,14.0,1.0,13.0
noodlesmanchurian,0.0,8.0,2.0,6.0
lovdanjero,0.0,12.0,5.0,12.0
Serhiiz,0.0,11.0,1.0,12.0
chessgraphics,0.0,5.0,1.0,10.0
Eideeen,0.0,14.0,0.0,4.0
shaheenShine,1.0,10.0,0.0,9.0
ferreirarib,3.0,6.0,0.0,8.0
Mister_1986,1.0,9.0,0.0,9.0
champ_vaibhav,0.0,9.0,2.0,10.0
Fork_De_Toillette,3.0,5.0,0.0,7.0
you-are_not_serious,0.0,23.0,2.0,8.0
borallev,2.0,13.0,0.0,8.0
lima20222,0.0,12.0,2.0,15.0
thailand_hero78,0.0,10.0,3.0,8.0
EYwang,2.0,2.0,0.0,2.0
Lichtle,0.0,10.0,3.0,14.0
Steph030,1.0,1.0,0.0,0.0
WiseMan4,0.0,10.0,1.0,11.0
hashtagwilliam,1.0,6.0,0.0,7.0
Jmonjos,0.0,11.0,3.0,10.0
machschattmach,0.0,7.0,2.0,7.0
prep_Depp,1.0,8.0,0.0,9.0
backhomesoon,1.0,12.0,0.0,10.0
polgu,0.0,14.0,1.0,14.0
XaveyonA,1.0,7.0,0.0,4.0
mojtaba214,0.0,10.0,1.0,12.0
soyleyenda_777,,,,
m7moudhosam,6.0,10.0,0.0,11.0
andrib82,0.0,2.0,1.0,6.0
AcemiUsta,3.0,7.0,0.0,8.0
MATVEUZ,0.0,2.0,5.0,5.0
anti-pac,0.0,0.0,0.0,0.0
Rubelito,3.0,11.0,0.0,12.0
MrSOK,2.0,34.0,0.0,26.0
Lepakomies,1.0,2.0,0.0,2.0
frastanmaria,0.0,10.0,3.0,10.0
Nejmeddined,1.0,18.0,0.0,10.0
Blauregen,0.0,14.0,2.0,10.0
mathu21,0.0,11.0,3.0,14.0
minael_72,1.0,13.0,0.0,18.0
Baluma,0.0,12.0,4.0,11.0
Ayoade,0.0,12.0,3.0,19.0
abdulazizthamer,2.0,10.0,0.0,8.0
Soi82,0.0,14.0,1.0,12.0
HoomanMafi1,0.0,12.0,2.0,11.0
JDWalker,0.0,12.0,1.0,6.0
KirkPhillip,0.0,1.0,1.0,1.0
elconceto,12.0,18.0,0.0,10.0
AJD32,6.0,12.0,0.0,6.0
vuksmart7,0.0,10.0,4.0,14.0
maxwil,1.0,13.0,0.0,14.0
Mumbamutati,1.0,11.0,0.0,11.0
Tony-2,0.0,9.0,3.0,17.0
Zapata79,0.0,11.0,5.0,9.0
pacalmisu,0.0,23.0,0.0,16.0
savio33,0.0,8.0,1.0,6.0
Identitary88,2.0,2.0,0.0,4.0
dexter001385,0.0,11.0,1.0,9.0
Thefanofmorphy1967,0.0,18.0,2.0,9.0
OurTrippyTribe11,1.0,4.0,0.0,7.0
Cosmosdos,0.0,12.0,2.0,7.0
chess_for_real,3.0,15.0,0.0,4.0
edeleon,2.0,8.0,0.0,11.0
vschach,5.0,12.0,0.0,12.0
Meiirem,0.0,11.0,5.0,12.0
Giorbinky,0.0,18.0,2.0,16.0
Antaeus50,0.0,0.0,0.0,0.0
Mqrott,0.0,14.0,1.0,16.0
cbh1711,0.0,14.0,1.0,13.0
Fernando-S,1.0,8.0,0.0,14.0
warrior33333,0.0,4.0,1.0,10.0
,0.0,0.0,0.0,0.0
ovidiolichess,0.0,14.0,1.0,17.0
punitaswal,0.0,14.0,1.0,12.0
venanccio,0.0,15.0,1.0,15.0
,0.0,0.0,0.0,0.0
KentNicks,0.0,4.0,1.0,4.0
Pessinaldo,0.0,0.0,0.0,0.0
o7777,0.0,14.0,2.0,20.0
Hankup,1.0,10.0,0.0,16.0
kristofkegels,2.0,19.0,0.0,7.0
rtrident,0.0,12.0,1.0,7.0
TMuller,0.0,17.0,1.0,7.0
Sbspca,1.0,14.0,0.0,18.0
Stensson210,2.0,12.0,0.0,50.0
AndersFriden,0.0,14.0,2.0,16.0
hacheg,0.0,19.0,2.0,12.0
Fredtastic,0.0,10.0,2.0,11.0
MACORTES,0.0,9.0,2.0,11.0
vasili68tmb,0.0,0.0,3.0,3.0
Enrike_Cuba,2.0,20.0,0.0,9.0
StrongKhaganaK1ller,2.0,14.0,0.0,7.0
akerfeldt0811,1.0,8.0,0.0,10.0
Mm123698745,0.0,10.0,6.0,11.0
Ricsi99,0.0,6.0,1.0,21.0
ChessComMustBeClosed,3.0,8.0,0.0,10.0
Yasmin_Antonella,1.0,4.0,0.0,10.0
csaar,3.0,13.0,0.0,11.0
xXelgharbawyXx,2.0,12.0,0.0,11.0
DusanRasic,1.0,7.0,0.0,6.0
Bauernschlauer,0.0,11.0,2.0,13.0
UsuallyGetFlagged,0.0,20.0,6.0,9.0
Dmitrii45rus,0.0,12.0,4.0,11.0
Tlazarde,0.0,12.0,3.0,10.0
Samurai_KCI,6.0,11.0,0.0,4.0
ACTION111,3.0,12.0,0.0,11.0
Max_Check,0.0,7.0,1.0,14.0
axmahone,2.0,4.0,0.0,4.0
GeorGm7,2.0,4.0,0.0,10.0
Safronov_Andrey,0.0,27.0,0.0,51.0
fortunex2,1.0,13.0,0.0,10.0
WinNoFail,1.0,9.0,0.0,9.0
dma880,0.0,10.0,1.0,10.0
Kacyiscool,1.0,12.0,0.0,9.0
victordaniel37,0.0,17.0,5.0,15.0
OPonck,0.0,8.0,1.0,10.0
Sichigu,0.0,5.0,1.0,4.0
Phiz2020,0.0,16.0,1.0,9.0
a_big_fan_of_chess,2.0,9.0,0.0,15.0
IoriYagami_249,0.0,11.0,5.0,9.0
David2Dk,0.0,6.0,0.0,5.0
Kingy070911,0.0,8.0,1.0,19.0
woong0824,0.0,10.0,1.0,10.0
Norwich91,0.0,11.0,1.0,11.0
Arnemann,2.0,7.0,0.0,16.0
Tenessy,0.0,18.0,0.0,12.0
speedstick153917,0.0,8.0,5.0,21.0
chessdotcomvirgin,2.0,9.0,0.0,8.0
KhatanbaatarGM,0.0,27.0,0.0,10.0
chek-one,1.0,16.0,0.0,11.0
t01let_g04t,1.0,8.0,0.0,4.0
CZohmingliana,1.0,25.0,0.0,10.0
ErrXr1312,0.0,10.0,1.0,16.0
usernkv,2.0,11.0,0.0,11.0
ValidAlekhine,0.0,65.0,1.0,6.0
Minixcool,1.0,15.0,0.0,10.0
fluffy_rook,0.0,2.0,1.0,3.0
NojlaMik666LsoN,0.0,9.0,4.0,7.0
Tilichkin,2.0,13.0,0.0,11.0
Novik89,2.0,18.0,0.0,8.0
dnos80,2.0,10.0,0.0,14.0
CarlosDaniel31,5.0,16.0,0.0,10.0
matenote,0.0,17.0,2.0,16.0
RookNRooky,1.0,9.0,0.0,10.0
sivkaburka,6.0,26.0,0.0,9.0
Am0k0,1.0,13.0,0.0,9.0
WiseMan4,0.0,10.0,1.0,11.0
gammadrill,0.0,12.0,1.0,13.0
Manoj-P,0.0,5.0,2.0,18.0
atomic_shark,0.0,10.0,3.0,9.0
nekro29,0.0,5.0,4.0,4.0
damonachey,4.0,12.0,0.0,9.0
georgecostanza,1.0,10.0,0.0,13.0
MdSharifHossain,0.0,14.0,1.0,16.0
JuanSaso,0.0,10.0,2.0,10.0
GennadiyTarasov_46,3.0,11.0,0.0,13.0
Escueta_PE2,0.0,7.0,1.0,10.0
andiii7,4.0,14.0,0.0,17.0
Mahanand,0.0,9.0,1.0,15.0
Lupo-56,0.0,11.0,1.0,12.0
MrDensity,1.0,22.0,0.0,3.0
viosoenk,0.0,6.0,1.0,6.0
hiiibrido,0.0,14.0,1.0,15.0
Billy68,9.0,9.0,0.0,13.0
Graukater,1.0,17.0,0.0,9.0
Matsps,2.0,10.0,0.0,13.0
Benyamin_93,2.0,16.0,0.0,13.0
amiralikhan,2.0,16.0,0.0,5.0
Travian2018,0.0,13.0,1.0,12.0
Blaklino,1.0,13.0,0.0,17.0
geekrick,1.0,10.0,0.0,6.0
adtaylor,0.0,10.0,1.0,9.0
amjadchess01,0.0,31.0,1.0,7.0
cckoldarda,2.0,9.0,0.0,10.0
ilyaskareem,0.0,11.0,2.0,9.0
johanaker,0.0,13.0,1.0,11.0
Tessarect,0.0,11.0,2.0,7.0
lockdawg,2.0,16.0,0.0,19.0
KnightsCamera_Action,5.0,14.0,0.0,10.0
NonMasterS,0.0,10.0,2.0,10.0
Ryomen_Sukuna,0.0,2.0,1.0,1.0
DeljemPivo,0.0,8.0,1.0,11.0
Davureta,0.0,11.0,5.0,13.0
Komgrol,0.0,9.0,2.0,9.0
piotr1066,3.0,14.0,0.0,14.0
madansuwal,0.0,13.0,1.0,12.0
CSDD2010,0.0,2.0,2.0,3.0
Getsgatensho,0.0,0.0,2.0,2.0
pmv960,0.0,50.0,1.0,14.0
Master_DM_is_Back,0.0,13.0,1.0,7.0
joselisko,0.0,9.0,1.0,8.0
rajaputih,0.0,20.0,1.0,7.0
Cosie,0.0,12.0,5.0,11.0
odinchert,1.0,20.0,0.0,15.0
PeteDiscreet,0.0,11.0,0.0,11.0
tobr02b,0.0,7.0,1.0,19.0
Kasparov1096,1.0,9.0,0.0,13.0
leapingbison,1.0,10.0,0.0,10.0
Nimzowitch2010,18.0,71.0,0.0,10.0
Saltaev,1.0,16.0,0.0,8.0
Jaychris2220,1.0,7.0,0.0,9.0
Meralagrave777,1.0,9.0,0.0,13.0
AlexYackovlef,0.0,10.0,3.0,8.0
davood3940,0.0,5.0,0.0,12.0
Angel_Prince,1.0,12.0,0.0,11.0
Movaro,1.0,10.0,0.0,11.0
nikola2323,2.0,6.0,0.0,8.0
komodo54,11.0,16.0,0.0,10.0
Kals311,0.0,9.0,1.0,11.0
Mania3,0.0,0.0,0.0,0.0
volodi,0.0,9.0,1.0,9.0
Rigobertossss,0.0,4.0,1.0,5.0
carelessblunder,0.0,13.0,2.0,12.0
Feuriger_Angreifer,2.0,12.0,0.0,6.0
StrainOnTheBrain,1.0,12.0,0.0,7.0
DKX111,0.0,7.0,2.0,12.0
Sergeisemenovich3791,0.0,8.0,1.0,9.0
,0.0,0.0,0.0,0.0
botdestroyer169,2.0,4.0,0.0,6.0
natureboi,1.0,13.0,0.0,14.0
Rita321,1.0,10.0,0.0,13.0
tig-90,1.0,16.0,0.0,20.0
Agent212,0.0,11.0,1.0,9.0
Atenilson21,0.0,7.0,2.0,5.0
slipperyguy,0.0,12.0,2.0,7.0
LordMagnito,1.0,10.0,0.0,18.0
Der_Kuchenmann,1.0,14.0,0.0,8.0
hasanzarbi25,0.0,15.0,2.0,11.0
FurkiGege,1.0,10.0,0.0,12.0
domshan,1.0,11.0,0.0,9.0
Dumbtruck,0.0,10.0,0.0,11.0
Lefu_Sekharume1998,0.0,13.0,1.0,11.0
Denis_Chess_Online,2.0,11.0,0.0,9.0
khurshud,0.0,13.0,1.0,11.0
miclifff2011,,,,
sasha_solovev_777,1.0,23.0,0.0,9.0
TatianaTrufanova,1.0,12.0,0.0,11.0
Grmalkin,0.0,11.0,1.0,10.0
Pomidorkaaaa,2.0,9.0,0.0,8.0
rustevs,2.0,27.0,0.0,10.0
Coljfore,2.0,16.0,0.0,13.0
Miloyooo,0.0,9.0,2.0,12.0
kasparik_garik,1.0,18.0,0.0,16.0
jenyjins,0.0,4.0,3.0,10.0
weiss57,1.0,10.0,0.0,10.0
DUKALIS_Tolya,0.0,12.0,2.0,10.0
Klimenko_Sergey_IM,0.0,30.0,0.0,9.0
Papagayo,3.0,20.0,0.0,12.0
byser,2.0,13.0,0.0,14.0
Quicksilver2398,0.0,7.0,2.0,8.0
,0.0,0.0,0.0,0.0
diego_gre,2.0,9.0,0.0,10.0
Hamidalc,1.0,11.0,0.0,12.0
Giasooganchand,1.0,1.0,0.0,0.0
chesspapidaddy,0.0,11.0,3.0,15.0
IVANTINEO1624,0.0,17.0,2.0,17.0
TheGreyChampion,0.0,1.0,2.0,2.0
wozeran11,1.0,11.0,0.0,10.0
paxanovikov,0.0,1.0,1.0,3.0
Motasem_Motaz,0.0,3.0,4.0,6.0
treeampfuse,1.0,9.0,0.0,10.0
samarinda_kaltim,0.0,11.0,3.0,10.0
KyleBlockbuster,1.0,14.0,0.0,10.0
Mamoudeee,2.0,14.0,0.0,16.0
Snipper2,0.0,14.0,2.0,12.0
oscar-david,0.0,11.0,2.0,12.0
Nonestbonum,1.0,9.0,0.0,12.0
peanasan,0.0,10.0,2.0,20.0
malapaka,0.0,16.0,1.0,11.0
Vava1758955,0.0,2.0,4.0,5.0
boomggg3,1.0,10.0,0.0,10.0
imsujith,2.0,10.0,0.0,13.0
entropy35,1.0,21.0,0.0,9.0
Crew12,1.0,15.0,0.0,8.0
jiannis_mitsis,0.0,17.0,1.0,7.0
Franquo,2.0,10.0,0.0,10.0
Prashantppm,2.0,9.0,0.0,8.0
chessvafr1804,4.0,11.0,0.0,7.0
lilmaby,2.0,13.0,0.0,10.0
Litmanenn,0.0,17.0,1.0,13.0
J_Noble,0.0,10.0,1.0,6.0
pineappleb,1.0,10.0,0.0,6.0
JuanK_Alvares,0.0,13.0,2.0,22.0
Jpwane,0.0,14.0,1.0,10.0
traxx777,1.0,9.0,0.0,7.0
zhallnrc,0.0,8.0,1.0,7.0
Shamil1981,0.0,14.0,4.0,15.0
PedramPaymanNia,0.0,13.0,6.0,11.0
fakecancer,1.0,12.0,0.0,15.0
,0.0,0.0,0.0,0.0
fauveard,5.0,15.0,0.0,18.0
gregory1964,0.0,10.0,2.0,22.0
QWERMNBV,0.0,7.0,1.0,19.0
TakuMal007,6.0,16.0,0.0,9.0
Silvermist15,0.0,9.0,1.0,12.0
internationale88,0.0,10.0,4.0,10.0
HerzliyaLostSon,4.0,11.0,0.0,13.0
legbreaker,1.0,17.0,0.0,14.0
JBakker,0.0,29.0,1.0,8.0
Che_Vergara,4.0,12.0,0.0,10.0
Afrikello,2.0,8.0,0.0,15.0
Bobbeja_62,8.0,12.0,0.0,15.0
chhota_bachha,0.0,9.0,1.0,4.0
pecsiroland7,1.0,10.0,0.0,1.0
halfprice,1.0,16.0,0.0,12.0
,0.0,0.0,0.0,0.0
saisureshrnb,0.0,2.0,1.0,1.0
rajasahari,0.0,17.0,0.0,8.0
fischerz,0.0,16.0,0.0,14.0
DrHamedIR,2.0,12.0,0.0,12.0
juliancho22,1.0,11.0,0.0,9.0
Dileonardi,2.0,13.0,0.0,11.0
quiquegiordano,0.0,12.0,1.0,11.0
Rikelme11,0.0,13.0,3.0,10.0
rail007,1.0,4.0,0.0,11.0
iArvindPrajapati,2.0,12.0,0.0,10.0
sfsfoxws,0.0,5.0,1.0,12.0
ClimbMT70,0.0,13.0,1.0,15.0
DiabloDiabloDiablo,3.0,14.0,0.0,7.0
Oleh_Horodechnyi,0.0,10.0,1.0,9.0
matthieu_dambrain,0.0,14.0,0.0,16.0
EvandroGodoy,2.0,11.0,0.0,7.0
Greasygray,0.0,12.0,2.0,11.0
marnuss,0.0,6.0,1.0,8.0
leef147,7.0,8.0,0.0,10.0
Devarshraj10,2.0,2.0,0.0,4.0
brackanin1971,0.0,0.0,1.0,1.0
Lassesonne,0.0,14.0,1.0,11.0
quegolazo,1.0,8.0,0.0,7.0
charly182,2.0,4.0,0.0,2.0
olivierCrolles,0.0,23.0,1.0,10.0
mstank011,1.0,8.0,0.0,6.0
musicboy,0.0,15.0,3.0,15.0
ATA-71,0.0,1.0,2.0,3.0
khrucher,0.0,10.0,1.0,9.0
Solsama,1.0,12.0,0.0,8.0
Bold_Dugar76,0.0,14.0,1.0,10.0
KHaaALIIL,0.0,1.0,1.0,3.0
indifferentspleen,2.0,17.0,0.0,11.0
flug9,0.0,11.0,5.0,10.0
chesssspeedrunner,0.0,20.0,3.0,7.0
MrSvirski,0.0,11.0,3.0,11.0
Spieler1973,0.0,7.0,1.0,10.0
Nebdvdmdv,0.0,8.0,3.0,9.0
HasanKastraveci,5.0,12.0,0.0,10.0
FinalSpot,5.0,11.0,0.0,8.0
Pescaderocalvo,1.0,12.0,0.0,11.0
pk36,8.0,12.0,0.0,16.0
MaximKasirin,4.0,11.0,0.0,12.0
lebalvn1,0.0,7.0,0.0,12.0
chessTX9,1.0,9.0,0.0,12.0
Ajayalpha,0.0,8.0,4.0,11.0
ToniMCT,1.0,11.0,0.0,8.0
HowlinD,3.0,15.0,0.0,12.0
Nkolo,0.0,8.0,2.0,15.0
SinEnigmas,0.0,11.0,0.0,11.0
amsd,0.0,9.0,1.0,11.0
Mmanrique-losalamos,0.0,4.0,3.0,3.0
Lucida17,1.0,30.0,0.0,8.0
fettuccinepasta,3.0,13.0,0.0,9.0
Umesh_Kumar2202,0.0,4.0,2.0,6.0
Crimson215,3.0,9.0,0.0,8.0
Arsam-karimy,0.0,8.0,3.0,10.0
Julienbach,1.0,8.0,0.0,9.0
BlazeRage,2.0,17.0,0.0,10.0
Jhonny9,0.0,13.0,1.0,10.0
patea40,0.0,14.0,8.0,22.0
Chestnut2000,0.0,11.0,1.0,12.0
caasi031088,0.0,0.0,0.0,0.0
vanos98,1.0,11.0,0.0,13.0
ulfheddin23,1.0,1.0,0.0,1.0
Chesslord1989,0.0,9.0,5.0,7.0
HA59,1.0,7.0,0.0,16.0
sheldem,1.0,14.0,0.0,15.0
miguelsanchez65,1.0,15.0,0.0,12.0
eduarc,0.0,8.0,1.0,9.0
CHRIS-GALAXY,0.0,9.0,2.0,11.0
lialal,0.0,1.0,1.0,4.0
Black-Bear,4.0,17.0,0.0,8.0
medusa_bocas,0.0,12.0,1.0,8.0
yassineelmaazouz,0.0,11.0,1.0,12.0
gibsorya,0.0,1.0,1.0,3.0
seraphin_skywalker,1.0,11.0,0.0,10.0
Stammargg,5.0,17.0,0.0,9.0
TEMARA,0.0,12.0,7.0,11.0
CleverClover,,,,
Naoel2024,1.0,10.0,0.0,11.0
great_nezhmetdinov2,1.0,17.0,0.0,10.0
Kartal1881,1.0,10.0,0.0,11.0
tazcyp,1.0,14.0,0.0,12.0
NowinsHere,2.0,11.0,0.0,8.0
bloodshot77,0.0,9.0,3.0,6.0
TeliTmas,0.0,27.0,1.0,11.0
zlatnakisa33,1.0,11.0,0.0,12.0
zzulu,2.0,9.0,0.0,11.0
,0.0,0.0,0.0,0.0
mikmikci,0.0,16.0,2.0,34.0
Louisschach2007,2.0,4.0,0.0,4.0
Bakiking,0.0,1.0,1.0,1.0
ghibran,1.0,10.0,0.0,12.0
Eh-Zria,0.0,19.0,1.0,20.0
Admmmmm,1.0,5.0,0.0,8.0
gmilovechess,0.0,9.0,1.0,6.0
Dominance_1,2.0,8.0,0.0,7.0
Dragon_Benoni,2.0,17.0,0.0,9.0
ChicagoAL,0.0,9.0,1.0,12.0
Batrn,0.0,13.0,2.0,10.0
outoftheblu,0.0,18.0,5.0,10.0
Nikitka228,1.0,13.0,0.0,16.0
Jennifer_Scowling,0.0,0.0,4.0,4.0
Jhotti,2.0,10.0,0.0,11.0
Matrix72,2.0,9.0,0.0,7.0
mlms719,0.0,1.0,1.0,6.0
wakedog,3.0,36.0,0.0,12.0
ViperCWL,1.0,17.0,0.0,8.0
zee-egel,0.0,30.0,2.0,7.0
TallymanGC,0.0,15.0,3.0,11.0
s_ach,1.0,6.0,0.0,7.0
Bartus-chess,1.0,10.0,0.0,3.0
grandmastergauri,2.0,39.0,0.0,8.0
gmilovechess,0.0,9.0,1.0,6.0
Edgar2303,3.0,14.0,0.0,12.0
David1316,2.0,11.0,0.0,11.0
Anonymo4044E,0.0,12.0,1.0,13.0
AhmeddHason,0.0,9.0,2.0,16.0
Drummer57,0.0,0.0,2.0,2.0
Vinciaco88,2.0,10.0,0.0,9.0
wwilhelm,0.0,14.0,1.0,14.0
AJEDREZ-UNA-PUNO,0.0,10.0,1.0,8.0
ZOGMA,0.0,2.0,0.0,4.0
abuzambak,3.0,12.0,0.0,8.0
chukur,0.0,10.0,1.0,11.0
Murtadha,0.0,13.0,1.0,16.0
NeMemuruAlkolBey,0.0,11.0,2.0,8.0
confused_person,2.0,7.0,0.0,9.0
mrmaslyjr,2.0,4.0,0.0,6.0
HouseOfLeaves19,0.0,16.0,2.0,12.0
smilingknight,5.0,47.0,0.0,13.0
adrienn_schnell,5.0,18.0,0.0,1.0
DrFrankenstein27,0.0,18.0,1.0,6.0
tabarisch96,5.0,8.0,0.0,12.0
Coopdaddyusa,0.0,0.0,2.0,2.0
femis23,0.0,15.0,1.0,9.0
Kingroche1974,6.0,15.0,0.0,12.0
j256413,0.0,5.0,3.0,13.0
Zzzyoun,2.0,9.0,0.0,14.0
brlol,0.0,8.0,8.0,25.0
Shamdrei,1.0,22.0,0.0,7.0
GurnBlandsten,1.0,17.0,0.0,4.0
amrils,0.0,24.0,3.0,9.0
Leinfellnergregor,0.0,2.0,6.0,7.0
TapiwaS,1.0,1.0,0.0,4.0
GrandestBlunderer,0.0,11.0,1.0,15.0
Syahrani92,0.0,10.0,3.0,9.0
evilthought,0.0,7.0,2.0,6.0
mahaprac,0.0,12.0,4.0,11.0
